SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1245.00,1267.00,1213.00,1218.15,1218.15,1259.00,345,3434,4243814.00,
500003,AEGIS LOGIS ,A ,Q,248.00,252.95,248.00,251.95,251.75,248.30,167,5197,1307874.00,
500008,AMAR RAJA BA,A ,Q,771.05,776.90,762.05,769.95,769.95,772.90,337,7631,5881265.00,
500009,A.SARABHAI  ,XT,Q,12.21,12.80,12.21,12.45,12.41,12.63,31,28984,361746.00,
500010,HDFC        ,A ,Q,1842.95,1862.65,1827.80,1831.75,1831.75,1833.35,1074,26574,48734143.00,
500012,ANDHRA PETRO,X ,Q,47.70,48.95,47.20,47.60,47.60,47.95,97,19068,911421.00,
500013,ANSAL INFRAS,B ,Q,19.00,19.25,18.20,18.75,19.10,18.90,128,24775,464803.00,
500014,APPLE FINANC,XT,Q,1.71,1.71,1.66,1.71,1.71,1.71,19,28576,48814.00,
500016,ARUNA HOTEL ,XT,Q,16.90,18.20,16.50,17.35,17.30,17.35,19,2685,45432.00,
500020,BOM DYEING  ,A ,Q,220.25,225.45,215.50,221.90,221.90,219.40,2100,211907,46841853.00,
500023,ASIANHOTNR  ,B ,Q,250.00,260.00,250.00,254.00,254.00,250.00,6,630,160904.00,
500024,ASSAMCO     ,B ,Q,3.60,3.73,3.45,3.47,3.45,3.56,126,179406,627004.00,
500027,ATUL LTD.   ,A ,Q,2725.00,2730.00,2701.50,2710.80,2710.00,2702.60,23,293,794548.00,
500028,ATV PROJECTS,XT,Q,9.44,9.45,8.69,8.82,8.81,9.00,10,1860,16535.00,
500029,AUTOLITE(I) ,B ,Q,62.25,62.30,60.25,61.30,60.25,62.95,27,2376,147451.00,
500031,BAJAJ ELECT.,A ,Q,535.00,547.00,523.00,537.30,537.30,532.95,2299,94846,51092856.00,
500032,BAJAJHIND   ,A ,Q,7.30,8.16,7.22,7.60,7.60,7.30,1307,1494065,11360204.00,
500033,FORCE MOTR  ,B ,Q,2723.00,2746.90,2721.00,2731.50,2731.50,2736.60,999,10993,30037543.00,
500034,BAJFINANCE  ,A ,Q,2252.00,2290.00,2233.05,2283.20,2283.20,2238.25,3226,79804,181356287.00,
500038,BALRAM.CHINI,A ,Q,70.60,74.55,70.50,73.75,73.75,70.95,3527,1060671,76963142.00,
500039,BANCO PROD. ,B ,Q,222.00,224.75,217.00,218.50,218.50,222.25,63,3634,804545.00,
500040,CENTURY TEXT,A ,Q,921.05,928.75,906.00,914.25,910.00,922.25,1774,50923,46655497.00,
500041,BANNARI AMAN,B ,Q,1558.90,1558.90,1470.10,1503.70,1470.10,1553.85,10,15,22766.00,
500042,BASF INDIA  ,B ,Q,2013.65,2024.00,2010.00,2022.70,2016.95,1995.30,26,271,546034.00,
500043,BATA INDIA  ,A ,Q,777.00,786.95,772.85,778.80,778.80,772.05,826,53868,41842550.00,
500048,BEML LTD    ,A ,Q,885.00,898.65,865.00,873.00,873.00,887.95,2401,75903,66858690.00,
500049,BHARAT ELECT,A ,Q,116.80,119.00,115.60,117.00,117.00,116.05,2910,488141,57325204.00,
500052,BHANSALI ENG,B ,Q,159.00,159.00,150.00,151.65,151.65,156.55,980,102583,15790044.00,
500055,BHUSH STEEL ,B ,Q,38.90,39.45,37.20,37.55,37.55,38.25,1723,492293,18744566.00,
500058,BIHAR SPONGE,XT,Q,1.09,1.19,1.09,1.19,1.19,1.14,11,2306,2621.00,
500059,BINANI IND. ,B ,Q,88.00,91.95,86.00,88.15,87.60,89.40,321,15526,1383312.00,
500060,BIRLACABLE  ,T ,Q,83.00,85.90,83.00,84.70,84.70,84.45,23,3826,324236.00,
500067,BLUE STAR   ,A ,Q,650.35,680.00,639.55,648.85,646.00,652.10,882,15023,9922965.00,
500068,DISA INDIA  ,X ,Q,5820.00,5985.00,5000.00,5711.50,5711.50,5937.00,33,145,817523.00,
500069,BNK CAPITAL ,X ,Q,92.75,92.75,92.70,92.75,92.70,97.20,3,251,23280.00,
500074,BPL LTD.    ,B ,Q,63.70,64.95,61.40,61.85,61.85,63.70,651,62373,3928309.00,
500078,OAL         ,X ,Q,790.00,799.00,765.00,770.25,770.00,790.00,40,1126,867547.00,
500083,CENTURY EXT ,B ,Q,6.68,6.85,6.27,6.55,6.27,6.68,38,12748,83798.00,
500084,CESC LTD.   ,A ,Q,1002.00,1010.00,980.40,993.00,993.00,1005.45,710,21012,21039261.00,
500085,CHAMBAL FERT,A ,Q,163.50,166.05,161.00,161.45,161.45,163.00,503,42283,6880702.00,
500086,EXIDE IND.  ,A ,Q,251.10,252.80,248.00,250.70,250.00,251.60,933,94075,23550499.00,
500087,CIPLA LTD.  ,A ,Q,592.50,614.95,590.15,612.00,612.00,587.95,4791,311915,188638905.00,
500089,DIC INDIA   ,B ,Q,405.20,406.00,400.00,403.20,401.60,408.50,13,250,100266.00,
500092,CRISIL LTD  ,A ,Q,1761.95,1787.95,1760.00,1774.10,1764.00,1760.25,37,175,311043.00,
500093,CGPOWER     ,A ,Q,56.95,58.35,56.05,56.30,56.30,57.00,2732,1786808,102489035.00,
500096,DABUR (I)   ,A ,Q,387.50,387.50,381.00,383.40,386.20,386.95,2447,32601,12493601.00,
500097,DALMIASUG   ,B ,Q,65.00,66.50,63.00,63.40,63.40,64.50,260,24957,1612832.00,
500101,ARVIND Ltd  ,A ,Q,412.00,421.90,412.00,414.40,414.40,415.45,1612,123756,51572453.00,
500102,BALARPUR IND,B ,Q,11.16,11.69,11.15,11.56,11.56,11.19,264,118749,1361138.00,
500103,BHEL        ,A ,Q,76.10,76.70,74.60,75.20,75.20,76.10,4474,467885,35341719.00,
500104,HIND.PETRO  ,A ,Q,308.50,310.05,303.95,306.20,306.20,310.05,2247,159855,48886198.00,
500106,IFCI LTD    ,A ,Q,17.10,17.55,16.65,16.75,16.75,17.55,1150,1088910,18519539.00,
