SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1331.50,1342.10,1323.45,1338.35,1329.90,1341.35,464,23207,30837469.00,
500003,AEGIS LOGIS ,A ,Q,201.60,204.70,200.95,201.60,201.60,201.20,120,4071,825266.00,
500008,AMAR RAJA BA,A ,Q,716.10,716.10,703.95,706.70,706.70,716.05,584,14386,10184800.00,
500009,A.SARABHAI  ,X ,Q,13.50,13.78,13.38,13.62,13.62,13.38,69,23755,323438.00,
500010,HDFC        ,A ,Q,1978.80,1978.80,1937.80,1945.75,1945.75,1984.35,3091,757306,1502919472.00,
500012,ANDHRA PETRO,X ,Q,57.40,58.70,55.00,55.20,55.20,57.40,251,63989,3593313.00,
500013,ANSAL INFRAS,B ,Q,11.24,11.24,10.83,11.08,10.99,11.20,63,69337,765681.00,
500014,APPLE FINANC,XT,Q,1.64,1.80,1.64,1.70,1.70,1.72,26,519,878.00,
500016,ARUNAHTEL   ,XT,Q,7.92,7.92,7.53,7.53,7.53,7.92,14,399,3043.00,
500020,BOM DYEING  ,A ,Q,141.80,141.80,134.40,136.10,136.10,142.75,4265,407344,55741782.00,
500023,ASIANHOTNR  ,B ,Q,140.00,144.65,133.00,138.90,134.50,139.00,18,10678,1496070.00,
500024,ASSAMCO     ,T ,Q,2.29,2.29,2.14,2.14,2.14,2.25,57,47961,102885.00,
500027,ATUL LTD.   ,A ,Q,3322.20,3354.75,3322.00,3340.20,3352.00,3338.55,79,528,1762392.00,
500028,ATV PROJECTS,XT,Q,6.05,6.63,6.05,6.31,6.31,6.32,9,15484,96347.00,
500029,AUTOLITE(I) ,B ,Q,37.60,38.50,37.60,38.40,38.40,37.00,7,319,12234.00,
500031,BAJAJ ELECT.,A ,Q,510.00,540.00,510.00,528.10,528.10,521.40,1358,41866,22290472.00,
500032,BAJAJHIND   ,B ,Q,8.02,8.15,7.90,8.10,8.07,8.03,3359,194564,1565094.00,
500033,FORCE MOTR  ,A ,Q,1670.00,1670.00,1632.30,1652.20,1652.20,1678.10,1301,12950,21352487.00,
500034,BAJFINANCE  ,A ,Q,2823.70,2865.00,2800.00,2852.85,2852.85,2836.85,2754,55424,157554039.00,
500038,BALRAM.CHINI,A ,Q,134.00,135.70,132.60,133.60,133.30,131.30,1835,166206,22295480.00,
500039,BANCO PROD. ,B ,Q,156.00,157.65,153.35,154.40,153.35,159.50,93,8161,1265216.00,
500040,CENTURY TEXT,A ,Q,888.00,894.60,879.90,886.50,886.50,893.15,491,19419,17212934.00,
500041,BANNARI AMAN,B ,Q,1540.00,1547.35,1500.00,1507.45,1522.25,1549.95,14,131,200555.00,
500042,BASF INDIA  ,A ,Q,1397.80,1467.40,1397.80,1443.45,1443.45,1389.10,695,4522,6533983.00,
500043,BATA INDIA  ,A ,Q,1368.40,1368.40,1324.15,1333.60,1333.60,1360.30,995,24009,32141828.00,
500048,BEML LTD    ,A ,Q,964.00,974.30,940.00,968.45,968.45,967.05,3197,109614,104845938.00,
500049,BHARAT ELECT,A ,Q,90.05,93.05,89.85,91.75,91.75,91.05,2089,571722,52620999.00,
500052,BHANSALI ENG,B ,Q,71.40,72.20,67.90,68.40,68.40,71.60,1216,188729,13176413.00,
500055,TATASTLBSL  ,T ,Q,28.95,29.30,27.85,28.05,28.05,29.30,384,81790,2303988.00,
500058,BIHAR SPONGE,XT,Q,0.88,0.88,0.87,0.87,0.87,0.88,13,4009,3497.00,
500059,BINANI IND. ,T ,Q,34.35,36.00,34.35,34.35,34.35,36.15,37,2792,96069.00,
500060,BIRLACABLE  ,B ,Q,158.00,158.00,148.00,148.80,149.40,154.70,198,8814,1319929.00,
500067,BLUE STAR   ,A ,Q,675.00,685.50,666.20,669.50,669.50,672.60,237,2994,2011159.00,
500068,DISA INDIA  ,X ,Q,5901.00,6000.00,5890.00,6000.00,6000.00,6000.00,6,126,755395.00,
500069,BNK CAPITAL ,X ,Q,86.85,86.85,86.85,86.85,86.85,90.95,1,1200,104220.00,
500074,BPL LTD.    ,B ,Q,27.60,29.10,27.55,27.70,27.70,28.55,107,19403,545168.00,
500078,OAL         ,X ,Q,235.00,235.10,232.00,233.65,234.00,240.50,48,3930,918488.00,
500083,CENTURY EXT ,B ,Q,6.20,6.20,6.05,6.14,6.10,6.29,21,2341,14297.00,
500084,CESC LTD.   ,A ,Q,704.50,711.55,693.65,698.70,698.70,710.05,495,8622,6031780.00,
500085,CHAMBAL FERT,A ,Q,158.50,160.25,156.85,159.25,160.25,159.40,318,16733,2660207.00,
500086,EXIDE IND.  ,A ,Q,220.00,220.00,215.75,217.40,217.40,220.85,820,161322,35140185.00,
500087,CIPLA LTD.  ,A ,Q,526.00,528.40,516.65,526.85,527.30,526.85,1488,1363430,722200638.00,
500089,DIC INDIA   ,B ,Q,340.00,350.10,340.00,350.00,350.00,346.00,7,308,104800.00,
